degree distribution (probability density function of the degree in logarithmic bins) 
4.37755	0.341067
6	0.0973253
7.34375	0.067202
9.5	0.0261012
12.087	0.0291459
16.1667	0.0118125
21.3636	0.00841125
27.5385	0.00772183
35	0.00184564
45.25	0.00143369
50	0.000278422

degree distribution (degree-occurrences) 
4	0.244
5	0.148
6	0.144
7	0.084
8	0.044
9	0.032
10	0.032
11	0.04
12	0.02
13	0.016
14	0.016
15	0.02
16	0.008
17	0.012
18	0.008
19	0.012
21	0.008
22	0.008
23	0.016
24	0.004
25	0.004
26	0.004
27	0.016
28	0.008
29	0.004
30	0.012
32	0.004
33	0.004
37	0.004
38	0.004
41	0.004
45	0.004
47	0.004
48	0.004
50	0.004


--------------------------------------
community distribution (size-occurrences)
5	0.142857
6	0.142857
11	0.142857
15	0.142857
19	0.0714286
23	0.0714286
26	0.142857
37	0.0714286
45	0.0714286


--------------------------------------
mixing parameter
0	0.08
0.125	0.008
0.144484	0.064
0.167718	0.128
0.196332	0.292
0.213061	0.048
0.226334	0.068
0.25	0.216
0.270813	0.02
0.287755	0.028
0.333333	0.044
0.4	0.004

--------------------------------------
